                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.71352,                0.49571,                 0.9527,                0.57071,                 0.7839,                0.66561,                0.47904,                 1.0624,                 1.1208,                 1.2265,             0.00064905,             0.00064905,             0.00064905
                     65,                0.72341,                 0.4887,                0.94896,                0.63563,                0.77658,                0.72595,                0.52121,                 1.0531,                0.90009,                 1.2421,             0.00064171,             0.00064171,             0.00064171
                     66,                0.73044,                0.50132,                 0.9602,                 0.5228,                0.80113,                 0.6714,                0.47165,                 1.1161,                 1.1756,                 1.2615,             0.00063438,             0.00063438,             0.00063438
                     67,                0.73241,                0.48814,                0.96432,                0.59684,                0.64124,                  0.633,                0.45774,                 1.0638,                 1.1944,                 1.2326,             0.00062705,             0.00062705,             0.00062705
                     68,                0.70393,                0.46829,                0.94988,                0.60741,                0.65998,                0.64896,                0.45993,                 1.0394,                 1.0452,                 1.2237,             0.00061972,             0.00061972,             0.00061972
                     69,                 0.6948,                0.46169,                0.94514,                0.51251,                0.70428,                0.60842,                0.43403,                 1.0515,                 1.3106,                 1.2273,             0.00061238,             0.00061238,             0.00061238
                     70,                0.68033,                0.47934,                0.92957,                0.53438,                0.71122,                0.65501,                0.47076,                 1.0632,                 1.0967,                 1.2316,             0.00060505,             0.00060505,             0.00060505
                     71,                0.67432,                0.47153,                0.93112,                0.60119,                0.67685,                0.70505,                0.51846,                 1.0512,                 1.1258,                 1.2313,             0.00059772,             0.00059772,             0.00059772
                     72,                0.70941,                0.47334,                0.94212,                0.58267,                0.69777,                0.67298,                0.49809,                 1.0533,                 1.2146,                 1.2674,             0.00059039,             0.00059039,             0.00059039
                     73,                0.68901,                0.48629,                0.93005,                0.51172,                 0.8083,                0.67587,                0.49616,                 1.0724,                 1.3013,                 1.2505,             0.00058305,             0.00058305,             0.00058305
